Date,VX60d,VX90d,VF75,VVIX,VIX,sigma_now,ema63,macd,roll_mu,roll_sd,roll_rank,roc_3m,roc_1m,vix_spread,spike_level,atr10,vf75_change_10d_atr
2013-01-02,19.55,19.55,19.55,78.7699966430664,14.68000030517578,0.8,19.55,0.0,,,,,,-4.86999969482422,,,
2013-01-03,19.61,19.61,19.61,77.0199966430664,14.5600004196167,0.8,19.551875000000003,0.0114285714285706,,,,,,-5.0499995803833,,,
2013-01-04,19.53,19.53,19.53,75.18000030517578,13.829999923706056,0.8,19.55119140625,0.0021768707483005,,,,,,-5.700000076293946,,,
2013-01-07,19.59,19.59,19.59,76.7699966430664,13.789999961853027,0.8,19.55240417480469,0.0082150955620328,,,,,,-5.8000000381469725,,,
2013-01-08,19.41,19.41,19.41,78.37000274658203,13.619999885559082,0.8,19.54795404434204,-0.0230113995711676,,,,,,-5.790000114440918,,,
2013-01-09,19.44,19.44,19.44,78.51000213623047,13.8100004196167,0.8,19.54458048045636,-0.0340450444296074,,,,,,-5.629999580383302,,,
2013-01-10,19.0,19.0,19.0,77.48999786376953,13.489999771118164,0.8,19.52756234044209,-0.1225383155663522,,,,,,-5.510000228881836,,,
2013-01-11,19.07,19.07,19.07,78.5199966430664,13.359999656677246,0.8,19.51326351730328,-0.1539374078556186,,,,,,-5.710000343322754,,,
2013-01-14,18.78,18.78,18.78,78.27999877929688,13.520000457763672,0.8,19.490349032387552,-0.2197874887896951,,,,,,-5.259999542236329,,,
2013-01-15,18.88,18.88,18.88,77.83999633789062,13.550000190734863,0.8,19.47127562512544,-0.2279024165239427,,,,,,-5.329999809265136,,,
2013-01-16,18.64,18.64,18.64,77.26000213623047,13.420000076293944,0.8,19.445298261840268,-0.2674013077757067,,,,,,-5.219999923706055,,0.1549999999999993,-5.870967741935509
2013-01-17,18.53,18.53,18.53,78.7699966430664,13.56999969482422,0.8,19.41669519115776,-0.2981910881207277,,,,,,-4.960000305175782,,0.1599999999999994,-6.750000000000014
2013-01-18,17.82,17.82,17.82,73.43000030517578,12.460000038146973,0.8,19.36679846643408,-0.4368237679311839,,,,,,-5.359999961853028,,0.2229999999999997,-7.668161434977593
2013-01-22,17.1,17.1,17.1,73.87000274658203,12.43000030517578,0.8,19.295961014358017,-0.6323841674451991,,,,,,-4.66999969482422,,0.2889999999999997,-8.615916955017305
2013-01-23,16.97,16.97,16.97,71.86000061035156,12.460000038146973,0.8,19.22327473265933,-0.7387813401462928,,,,,,-4.509999961853026,,0.284,-8.591549295774653
2013-01-24,16.89,16.89,16.89,76.16999816894531,12.6899995803833,0.8,19.150359897263726,-0.7796377559685226,,,,,,-4.2000004196167,,0.2889999999999997,-8.823529411764717
2013-01-25,16.79,16.79,16.79,76.91999816894531,12.890000343322754,0.8,19.076598650474235,-0.7849062909160587,,,,,,-3.899999656677245,,0.2549999999999997,-8.666666666666679
2013-01-28,16.87,16.87,16.87,78.16000366210938,13.56999969482422,0.8,19.007642442646915,-0.7353022970329377,,,,,,-3.3000003051757822,,0.2559999999999999,-8.59375
2013-01-29,16.68,16.68,16.68,73.61000061035156,13.3100004196167,0.8,18.9349036163142,-0.7081332387648196,,,,,,-3.3699995803833005,,0.246,-8.53658536585366
2013-01-30,17.12,17.12,17.12,77.33999633789062,14.31999969482422,0.8,18.87818787830438,-0.5750779083847171,,,,,,-2.8000003051757822,,0.2800000000000004,-6.28571428571427
2013-01-31,17.31,17.31,17.31,76.72000122070312,14.279999732971191,0.8,18.829182007107367,-0.4354711525301411,,,,,,-3.030000267028808,,0.2750000000000003,-4.836363636363637
2013-02-01,17.02,17.02,17.02,73.29000091552734,12.899999618530272,0.8,18.77264506938526,-0.3901972371594269,,,,,-12.941176470588244,-4.120000381469726,,0.2930000000000003,-5.15358361774744
2013-02-04,17.28,17.28,17.28,77.79000091552734,14.670000076293944,0.8,18.72599991096697,-0.296221798035237,,,,,-11.88169301376848,-2.609999923706056,,0.2480000000000004,-2.177419354838703
2013-02-05,17.18,17.18,17.18,75.06999969482422,13.720000267028809,0.8,18.67768741374925,-0.2474633662483114,,,,,-12.03277009728624,-3.459999732971191,,0.1860000000000006,0.4301075268817097
2013-02-06,17.04,17.04,17.04,77.23999786376953,13.40999984741211,0.8,18.626509682069585,-0.2344841020725283,,,,,-13.016845329249616,-3.6300001525878898,,0.1870000000000004,0.3743315508021396
2013-02-07,16.99,16.99,16.99,76.86000061035156,13.5,0.8,18.57536875450491,-0.2254252795876752,,,,,-12.467800103039684,-3.4899999999999984,,0.1840000000000007,0.5434782608695516
2013-02-08,16.67,16.67,16.67,74.41999816894531,13.020000457763672,0.8,18.515825980926632,-0.2704666534254869,,,,,-14.248971193415638,-3.64999954223633,,0.2060000000000002,-0.5825242718446471
2013-02-11,16.47,16.47,16.47,76.0999984741211,12.9399995803833,0.8,18.45189391902268,-0.321420454979215,,,,,-13.315789473684214,-3.530000419616698,,0.2180000000000003,-1.834862385321108
2013-02-12,16.44,16.44,16.44,73.83000183105469,12.640000343322754,0.8,18.38902223405322,-0.3409454627728081,,,,,-13.79129522810697,-3.799999656677248,,0.2019999999999999,-1.1881188118811807
2013-02-13,16.53,16.53,16.53,73.25,12.979999542236328,0.8,18.33092778923905,-0.3187242547132989,,,,,-11.980830670926512,-3.550000457763673,,0.1669999999999998,-3.53293413173653
2013-02-14,16.42,16.42,16.42,72.98999786376953,12.65999984741211,0.8,18.27121129582533,-0.3118014570262808,,,,,-13.029661016949134,-3.760000152587892,,0.1589999999999999,-5.597484276729542
2013-02-15,16.39,16.39,16.39,72.55000305175781,12.460000038146973,0.8,18.2124234428308,-0.2987121699181614,,,,,-12.07081545064378,-3.929999961853028,,0.1330000000000001,-4.736842105263144
2013-02-19,15.74,15.74,15.74,70.44999694824219,12.3100004196167,0.8,18.135160210242333,-0.4008177120507561,,,,,-15.056664867781976,-3.429999580383301,,0.172,-8.953488372093025
2013-02-20,16.55,16.55,16.55,79.6500015258789,14.68000030517578,0.8,18.085623953672258,-0.2857914641241059,,,,,-7.126823793490456,-1.86999969482422,,0.2429999999999999,-2.592592592592589
2013-02-21,16.73,16.73,16.73,80.83000183105469,15.220000267028809,0.8083000183105469,18.04326070512,-0.172167347969637,,,,,-2.16374269005849,-1.5099997329711918,,0.2469999999999999,-1.255060728744935
2013-02-22,16.43,16.4504,16.4402,78.66000366210938,14.170000076293944,0.8,17.993165058085,-0.1542408364542424,,,,,-3.121979964643473,-2.2701999237060555,,0.2709799999999998,-2.0289320245036464
2013-02-25,17.52,17.5829,17.5514,94.33999633789062,18.989999771118164,0.9433999633789064,17.979359900019844,0.075004829004758,,,,,3.915926583777396,1.438599771118163,,0.3501000000000001,2.5175664095972548
2013-02-26,17.58,17.6371,17.6086,90.2300033569336,16.8700008392334,0.902300033569336,17.967773653144224,0.2133259316953868,,,,,4.87552114353782,-0.7385991607666007,,0.3358199999999997,3.3905068191293
2013-02-27,16.74,16.8193,16.7796,82.29000091552734,14.729999542236328,0.8229000091552734,17.930643226483465,0.1243034221997732,,,,,-0.5358624777712095,-2.0496004577636704,,0.41572,0.8168959876840115
